,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,loudness,valance,emotion
0,0.9,0.0685,100.721,0.0874,0.0884,0.063,0.682,-5.028,0.937,fearful
1,0.82,0.115,166.303,0.0567,0.132,0.000969,0.454,-4.193,0.575,angry
2,0.508,0.116,153.721,0.0266,0.0151,0.00109,0.546,-6.301,0.385,angry
3,0.402,0.241,109.001,0.0408,0.403,0.0002,0.722,-13.194,0.514,angry
4,0.148,0.0968,114.627,0.078,0.954,0.0,0.62,-13.124,0.579,angry
5,0.366,0.133,141.981,0.0282,0.578,0.0,0.604,-7.519,0.13,sad
6,0.859,0.0424,141.02,0.0856,0.281,0.0,0.788,-2.724,0.822,fearful
7,0.664,0.0849,166.928,0.154,0.335,0.0,0.563,-5.044,0.688,fearful
8,0.679,0.103,184.075,0.0324,0.176,0.0,0.456,-4.802,0.483,happy
9,0.54,0.367,121.932,0.0493,0.299,0.0,0.695,-5.692,0.415,happy
10,0.833,0.365,148.039,0.0449,0.000346,0.0,0.482,-5.611,0.74,fearful
11,0.757,0.144,82.517,0.0306,0.14,0.0,0.429,-2.912,0.538,happy
12,0.893,0.103,124.113,0.0556,0.000362,0.0,0.436,-4.18,0.0794,fearful
13,0.949,0.231,110.02,0.0798,0.000429,2.91e-05,0.487,-4.217,0.406,fearful
14,0.881,0.429,144.997,0.0474,0.0244,0.0,0.486,-5.623,0.667,fearful
15,0.703,0.142,151.297,0.0348,0.00847,7.39e-05,0.286,-4.491,0.259,fearful
16,0.793,0.0976,136.96,0.0468,0.000218,5.65e-05,0.631,-4.086,0.648,fearful
17,0.883,0.388,135.092,0.0506,0.00744,0.0,0.45,-4.929,0.441,fearful
18,0.695,0.119,90.268,0.245,0.352,0.0,0.676,-8.327,0.144,fearful
19,0.923,0.0561,136.01,0.044,0.0098,0.0,0.602,-3.763,0.765,fearful
20,0.785,0.086,128.031,0.0457,0.0505,1.12e-06,0.569,-4.057,0.303,happy
21,0.696,0.0726,132.077,0.0706,0.251,0.0,0.727,-4.472,0.467,fearful
22,0.954,0.331,114.0,0.0817,0.0296,0.0,0.667,-3.462,0.807,fearful
23,0.767,0.306,135.943,0.0328,0.0242,0.0,0.399,-3.732,0.507,fearful
24,0.859,0.0756,92.474,0.0332,0.0659,0.0,0.492,-4.274,0.251,angry
25,0.629,0.183,173.794,0.0287,0.0328,0.0,0.396,-4.78,0.358,angry
26,0.886,0.0826,97.012,0.0431,0.185,0.0,0.673,-4.44,0.795,happy
27,0.908,0.374,131.147,0.108,0.0113,0.0,0.648,-4.251,0.793,fearful
28,0.787,0.163,114.987,0.0308,0.0396,1.42e-06,0.605,-3.002,0.374,happy
29,0.808,0.0983,117.971,0.0362,0.000235,0.0,0.493,-3.365,0.38,fearful
30,0.512,0.0946,76.899,0.0503,0.234,0.0,0.574,-6.664,0.512,happy
