id,song,artist,album,popularity,duration
3JvKfv6T31zO0ini8iNItO,Another Love,Tom Odell,Long Way Down (Deluxe),91,244360
5dXiKFepHXZktud7z5635H,London Is Lonely,Holly Humberstone,London Is Lonely,67,234760
29Co9NKhOM5R9vWCrpkPPK,All For You,Cian Ducrot,All For You,65,219380
1cpVLszZnKUHUjsJDTEi3D,Black Hole - Acoustic Version,Griff,Black Hole (Acoustic Version),64,175979
2KnLkZ3z7PO3kgVGHGqDpD,It'll Be Okay,Shawn Mendes,It'll Be Okay,86,222800
6HJizCbaqaEQG1eLjn341Z,Hurtless,Dean Lewis,Hurtless,76,180274
0gplL1WMoJ6iYaPgMCL0gX,Easy On Me,Adele,Easy On Me,91,224694
5S9Zs5g9lTWnLIboN1pdlU,Fingers Crossed,Lauren Spencer-Smith,Fingers Crossed,72,175344
1vXmhTcKkv7Kck2gBap1fz,Seventeen Going Under - Acoustic,Sam Fender,Seventeen Going Under (Acoustic),63,270840
135Lf4Q0CzlMNfOxbEUsLH,GHOST TOWN,Benson Boone,GHOST TOWN,83,193733
66MhEsUuahsQOxNR4RJv9Z,You - Live,Miley Cyrus,ATTENTION: MILEY LIVE,70,181093
44V6EzbUSYgyfsNiP0FrlA,Visiting Hours,Ed Sheeran,Visiting Hours,75,215506
7JIIY2oDPFkURYMCLJuzhe,"Elliot's Song - From ""Euphoria"" An HBO Original Series",Dominic Fike,"Elliot's Song (From ""Euphoria"" An HBO Original Series)",80,150320
7dDrR6vMK1JAwZZ5MIWgme,Birthday Cake,Dylan Conrique,Birthday Cake,84,205280
55Am8neGJkdj2ADaM3aw5H,Train Wreck,James Arthur,Back from the Edge,82,208826
754zNJgoWQaGETFzSYVlmC,Is It Just Me? (feat. JP Cooper),Emily Burns,Is It Just Me?,68,203300
1ZMiCix7XSAbfAJlEZWMCp,Falling,Harry Styles,Fine Line,87,240133
4TRL1Y8sOR54I3AvRzUZHk,we'll be fine,Luz,we'll be fine,38,262960
6gPPoRYJwCsoB2VVdPJfmo,Miserable Man,David Kushner,Miserable Man,80,232991
4VtRHZ4tBDHaWltVAytlLY,Go,Cat Burns,Go,83,215000
06Nak3IpaRtZKS27DYoHmt,If You Ever Change Your Mind,Calum Scott,If You Ever Change Your Mind,69,205994
3Inj1eHMvEhwUFej1LYR0d,Shouldn't Be Thinking About You,Jamie Grey,Songs They Told Me Weren't Singles - Part 1,53,171724
7l97ElWmIdVHWUaOeeU5ZC,that way,Tate McRae,all the things i never said,81,175026
2ySPkHH3mHCP3r3T040M5V,I Lost Myself In Loving You,Jamie Miller,I Lost Myself In Loving You,71,201306
7lPN2DXiMsVn7XUKtOW1CS,drivers license,Olivia Rodrigo,drivers license,33,242013
4zXuYQNDmw3dlauyc8q3Kd,We'll Never Have Sex,Leith Ross,We'll Never Have Sex,76,99620
137mSruegm1u6x9NvwiagR,Unstable (feat. The Kid LAROI),Justin Bieber,Justice,74,158324
2tJUcBxiQEYSCzC3BdIOk8,Love is Pain,FINNEAS,Optimist,65,224278
39ZVkOVxjG8ypNdUSVNkxU,Mr. Forgettable,David Kushner,Mr. Forgettable,81,187293
2JDu2WDRJxQrLVMCHXh3HY,Cut Me Out Your Photos,Tamzene,Cut Me Out Your Photos,42,168615
15OCqNPYoLziEAsbVnqRj5,Good Without,Mimi Webb,Good Without,73,182121
11Q0l1bZkmXJk3LStYGuAy,No Words,RHODES,No Words,48,189690
13gqe2AjtaPexcBoqA10IX,Panic Attacks in Paradise,Ashnikko,Panic Attacks in Paradise / Maggots,66,184885
1mEM6KkVMwpuAuqusCMD6m,Crisis,Joshua Bassett,Crisis / Secret / Set Me Free,68,189093
659179UI47crJGFp0RrCwU,To Love A Man,Celeste,To Love A Man,57,161140
0oTz1tAimsacngMWagNdfB,Giving Up,Aaron Smith,Giving Up,48,184497
7LAmsNJpBaNvNg7VZPXxSv,As the World Caves In,Sarah Cothran,As the World Caves In,6,161612
2tbu7dOzCjM5JrPGr0sIes,drunk text me,Lexi Jayde,drunk text me,73,213133
