id,song,artist,album,popularity,duration,emotion,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valance,tempo
2vBF8A6n0REigm7RSUM65S,The A Team,Ed Sheeran,The A Team,22,258588,sad,0.626,0.286,9,-9.933,1,0.0374,0.678,0,0.134,0.366,84.954
7lPN2DXiMsVn7XUKtOW1CS,drivers license,Olivia Rodrigo,drivers license,33,242013,sad,0.585,0.436,10,-8.761,1,0.0601,0.721,1.31e-05,0.105,0.132,143.874
7jtQIBanIiJOMS6RyCx6jZ,Another Love,Tom Odell,Long Way Down,57,244360,sad,0.442,0.538,4,-8.55,0,0.0451,0.717,2.95e-05,0.09,0.139,122.758
4Of7rzpRpV1mWRbhp5rAqG,Bruises,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,81,220492,sad,0.736,0.308,4,-7.83,1,0.0677,0.946,0,0.186,0.361,111.202
09u787BYeYIGd2mFIJ505t,Cry Your Heart Out,Adele,30,72,255278,sad,0.756,0.713,7,-6.917,1,0.102,0.523,3.35e-06,0.248,0.59,125.064
1ZMiCix7XSAbfAJlEZWMCp,Falling,Harry Styles,Fine Line,87,240133,sad,0.567,0.267,4,-6.502,1,0.0299,0.839,1.46e-06,0.089,0.0592,110.011
43zdsphuZLzwA9k4DJhU0I,when the party's over,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",83,196077,sad,0.367,0.111,4,-14.084,1,0.0972,0.978,3.97e-05,0.0897,0.198,82.642
44V6EzbUSYgyfsNiP0FrlA,Visiting Hours,Ed Sheeran,Visiting Hours,75,215506,sad,0.471,0.396,8,-6.654,1,0.0336,0.77,0,0.0729,0.263,149.609
0gplL1WMoJ6iYaPgMCL0gX,Easy On Me,Adele,Easy On Me,91,224694,sad,0.604,0.366,5,-7.519,1,0.0282,0.578,0,0.133,0.13,141.981
4L2K7JKseFCBoHMZEAszW0,Jealous,Labrinth,Jealous,4,287693,sad,0.439,0.153,1,-8.95,1,0.0479,0.874,0,0.107,0.104,116.76
45bE4HXI0AwGZXfZtMp8JR,you broke me first,Tate McRae,you broke me first,86,169265,sad,0.667,0.373,4,-9.389,1,0.05,0.785,0,0.0906,0.0823,124.148
79Ey6OincHcHjtXR7Y5x21,"if you need to, keep time on me",Liush,"if you need to, keep time on me",34,212700,sad,0.22,0.0879,11,-19.441,1,0.0434,0.942,0.279,0.0761,0.143,164.578
4xqrdfXkTW4T0RauPLv3WA,Heather,Conan Gray,Kid Krow,87,198040,sad,0.357,0.425,5,-7.301,1,0.0333,0.584,0,0.322,0.27,102.078
